constellation	ra1_hours	dec1_deg	ra2_hours	dec2_deg
Gem	6.732200	25.13110	7.185660	30.24520
Gem	7.185660	30.24520	7.576627	31.88830
Gem	7.576627	31.88830	7.755267	28.02620
Gem	7.755267	28.02620	7.598707	26.89570
Gem	7.598707	26.89570	7.335380	21.98230
Gem	7.335380	21.98230	7.068480	20.57030
Gem	7.068480	20.57030	6.628527	16.39930
Gem	6.628527	16.39930	6.754827	12.89560
Gem	7.335380	21.98230	7.301547	16.54040
Gru	23.014667	-52.75410	22.809247	-51.31690
Gru	22.809247	-51.31690	22.711127	-46.88460
Gru	22.711127	-46.88460	22.495953	-43.74920
Gru	22.495953	-43.74920	22.137220	-46.96100
Gru	22.137220	-46.96100	22.711127	-46.88460
Gru	22.487827	-43.49560	22.260253	-41.34670
Gru	22.260253	-41.34670	22.101913	-39.54340
Gru	22.101913	-39.54340	21.898813	-37.36490
Her	16.365340	19.15310	16.503667	21.48960
Her	16.503667	21.48960	16.688100	31.60270
Her	16.688100	31.60270	16.714933	38.92230
Her	16.714933	38.92230	16.568387	42.43700
Her	16.568387	42.43700	16.329013	46.31340
Her	16.329013	46.31340	16.146160	44.93490
Her	16.146160	44.93490	15.877927	42.45150
Her	16.688100	31.60270	17.004827	30.92640
Her	16.714933	38.92230	17.250787	36.80920
Her	17.937553	37.25050	17.394707	37.14590
Her	17.394707	37.14590	17.250787	36.80920
Her	17.250787	36.80920	17.004827	30.92640
Her	17.004827	30.92640	17.250533	24.83920
Her	17.250533	24.83920	17.774313	27.72070
Her	17.774313	27.72070	17.962747	29.24790
Her	17.962747	29.24790	18.125707	28.76250
Her	17.244127	14.39030	16.503667	21.48960
Hor	4.233367	-42.29440	2.709293	-50.80030
Hor	2.709293	-50.80030	2.623433	-52.54310
Hor	2.623433	-52.54310	2.677673	-54.54990
Hor	2.677673	-54.54990	3.060227	-59.73780
Hor	3.060227	-59.73780	2.979947	-64.07130
Hya	8.779587	6.41880	8.807213	5.83780
Hya	8.807213	5.83780	8.720407	3.39870
Hya	8.720407	3.39870	8.645953	3.34140
Hya	8.645953	3.34140	8.627600	5.70380
Hya	8.627600	5.70380	8.779587	6.41880
Hya	8.779587	6.41880	8.923227	5.94560
Hya	8.923227	5.94560	9.239407	2.31430
Hya	9.239407	2.31430	9.664267	-1.14280
Hya	9.664267	-1.14280	9.459787	-8.65860
Hya	9.459787	-8.65860	9.857973	-14.84660
Hya	9.857973	-14.84660	10.176467	-12.35410
Hya	10.176467	-12.35410	10.434840	-16.83630
Hya	10.434840	-16.83630	10.827080	-16.19360
Hya	10.827080	-16.19360	11.550033	-31.85760
Hya	11.550033	-31.85760	11.881813	-33.90810
Hya	11.881813	-33.90810	13.315360	-23.17150
Hya	13.315360	-23.17150	14.106193	-26.68240
Hya	14.106193	-26.68240	14.838140	-27.96040
Hyi	0.429187	-77.25420	3.787320	-74.23900
Hyi	3.787320	-74.23900	2.659820	-68.26690
Hyi	2.659820	-68.26690	2.362487	-68.65940
Hyi	2.362487	-68.65940	1.915593	-67.64730
Hyi	1.915593	-67.64730	1.979500	-61.56990
Ind	20.626120	-47.29150	20.733980	-51.92100
Ind	20.733980	-51.92100	20.913500	-58.45420
Ind	20.913500	-58.45420	21.965300	-54.99260
Ind	21.965300	-54.99260	21.331107	-53.44940
Ind	21.331107	-53.44940	20.626120	-47.29150
Lac	22.392673	52.22900	22.521527	50.28250
Lac	22.521527	50.28250	22.492173	47.70690
Lac	22.492173	47.70690	22.350427	46.53660
Lac	22.350427	46.53660	22.508127	43.12340
Lac	22.508127	43.12340	22.675240	44.27630
Lac	22.675240	44.27630	22.492173	47.70690
Lac	22.492173	47.70690	22.408607	49.47640
Lac	22.408607	49.47640	22.392673	52.22900
Lac	22.508127	43.12340	22.231313	39.71490
Lac	22.231313	39.71490	22.266160	37.74870
Leo	10.139533	11.96720	10.122207	16.76270
Leo	10.122207	16.76270	10.332873	19.84150
Leo	10.332873	19.84150	11.235140	20.52370
Leo	11.235140	20.52370	11.817660	14.57210
Leo	11.817660	14.57210	11.237333	15.42960
Leo	11.237333	15.42960	10.139533	11.96720
Leo	10.332873	19.84150	10.278173	23.41730
Leo	10.278173	23.41730	9.879393	26.00700
Leo	9.879393	26.00700	9.764187	23.77430
LMi	10.123820	35.24470	10.431893	33.79610
LMi	10.431893	33.79610	10.888527	34.21490
LMi	10.888527	34.21490	10.464720	36.70720
LMi	10.464720	36.70720	10.123820	35.24470
LMi	10.123820	35.24470	9.570387	36.39760
Lep	6.102587	-14.93530	5.940080	-14.16770
Lep	5.940080	-14.16770	5.782593	-14.82200
Lep	5.782593	-14.82200	5.545507	-17.82230
Lep	5.545507	-17.82230	5.215527	-16.20550
Lep	5.215527	-16.20550	5.091020	-22.37100
Lep	5.091020	-22.37100	5.470753	-20.75940
Lep	5.470753	-20.75940	5.741053	-22.44840
Lep	5.741053	-22.44840	5.855360	-20.87910
